StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
2017-11-28 06:47:02,2017-11-28 06:49:09,IP Address,74.137.60.167,100,126,True,2017-11-28 06:49:10,R_TjECzCoEwt7E0jT,,,,,38.361999511719,-85.889198303223,anonymous,EN,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Disagree,Strongly Agree,Undecided,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1989,Female,41116869,Science,
2017-11-28 06:50:14,2017-11-28 06:51:54,IP Address,24.118.182.202,100,100,True,2017-11-28 06:51:55,R_3rYWpT1A5WKKam5,,,,,44.839996337891,-93.036499023438,anonymous,EN,Undecided,Agree,Undecided,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Undecided,Strongly Disagree,Strongly Disagree,Disagree,Undecided,Agree,Disagree,Agree,Undecided,Disagree,,,,,,,,,,,,,,,,,,,,,,1981,Female,20099126,Science,
2017-11-28 06:39:32,2017-11-28 06:54:48,IP Address,108.46.76.91,100,915,True,2017-11-28 06:54:49,R_2flAMX85WLSOxiN,,,,,40.602401733398,-73.763702392578,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Undecided,Agree,Disagree,Undecided,Agree,Agree,Undecided,Agree,Undecided,Agree,Disagree,Disagree,Undecided,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,,1990,Male,45705443,PopCulture,
2017-11-28 06:56:18,2017-11-28 06:57:50,IP Address,132.147.20.195,100,92,True,2017-11-28 06:57:51,R_eOLMDOXbxKN7tkZ,,,,,33.598205566406,-81.671203613281,anonymous,EN,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1987,Male,84175929,Science,
2017-11-28 06:55:47,2017-11-28 06:58:14,IP Address,24.197.171.157,100,146,True,2017-11-28 06:58:15,R_PTErINHvWhxujW9,,,,,34.051498413086,-84.071296691895,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Undecided,Agree,Disagree,Undecided,Agree,Agree,Undecided,Disagree,Strongly Disagree,Undecided,Agree,Undecided,Agree,Undecided,Strongly Disagree,Undecided,Agree,Agree,,1978,Male,65477759,PopCulture,
2017-11-28 02:59:42,2017-11-28 03:00:20,IP Address,50.23.151.90,55,37,False,2017-11-28 07:00:24,R_2uxihKoCF9I0zpb,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,Disagree,,,,,,,,,Agree,,,,,,,Undecided,,,,82566297,PopCulture,
2017-11-28 07:07:40,2017-11-28 07:09:40,IP Address,98.254.156.176,100,120,True,2017-11-28 07:09:42,R_2sXE8AzUd5FR2e5,,,,,27.249801635742,-80.379699707031,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,,1978,Male,78065028,PopCulture,
2017-11-28 07:15:04,2017-11-28 07:16:22,IP Address,47.138.49.171,100,77,True,2017-11-28 07:16:23,R_2qrWH77EJnJOzzO,,,,,33.781600952148,-118.18589782715,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Undecided,Strongly Agree,Agree,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Disagree,Undecided,Undecided,Undecided,,1984,Male,16681170,PopCulture,
2017-11-28 07:14:21,2017-11-28 07:16:56,IP Address,98.111.248.244,100,155,True,2017-11-28 07:16:57,R_9zCA4zGO9AXUxpv,,,,,40.394805908203,-79.905601501465,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,,1960,Female,92359232,PopCulture,
2017-11-28 07:13:48,2017-11-28 07:20:29,IP Address,173.81.164.160,100,401,True,2017-11-28 07:20:30,R_3kzwYpM7AW56FHn,,,,,39.393905639648,-80.293899536133,anonymous,EN,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1984,Female,38526283,Science,
2017-11-28 07:22:29,2017-11-28 07:25:20,IP Address,73.64.34.114,100,171,True,2017-11-28 07:25:21,R_1QxQ15NqGHaHJ8u,,,,,40.045806884766,-77.480697631836,anonymous,EN,Undecided,Undecided,Strongly Disagree,Agree,Undecided,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Undecided,Strongly Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1962,Female,51843642,Science,
2017-11-28 07:26:14,2017-11-28 07:32:00,IP Address,71.73.96.209,100,346,True,2017-11-28 07:32:01,R_qKO4LMgPRv9c413,,,,,41.235000610352,-81.343399047852,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Undecided,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Undecided,Strongly Disagree,Undecided,Agree,Undecided,Agree,Agree,Strongly Disagree,Undecided,,1972,Female,17235637,PopCulture,
2017-11-28 07:44:33,2017-11-28 07:46:42,IP Address,66.239.202.58,100,129,True,2017-11-28 07:46:43,R_3F3AADMh2cRRzDt,,,,,27.957794189453,-82.462196350098,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Undecided,Agree,Strongly Disagree,Agree,Undecided,Strongly Agree,Agree,Undecided,Agree,Agree,Disagree,,1991,Female,17942819,PopCulture,
2017-11-28 07:51:28,2017-11-28 07:52:44,IP Address,50.24.98.165,100,76,True,2017-11-28 07:52:45,R_Oa5i5cEypmc5SuJ,,,,,30.567001342773,-96.283699035645,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1987,Male,99756726,Science,
2017-11-28 07:52:23,2017-11-28 07:58:24,IP Address,99.13.251.138,100,360,True,2017-11-28 07:58:25,R_1j6pFJFHHQzF1dL,,,,,28.996994018555,-81.056297302246,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided,,1951,Female,70372736,PopCulture,
2017-11-28 08:10:43,2017-11-28 08:13:02,IP Address,107.12.36.230,100,139,True,2017-11-28 08:13:03,R_SPmPrGSY92cZ3Lr,,,,,34.759506225586,-77.501899719238,anonymous,EN,Disagree,Undecided,Agree,Undecided,Strongly Disagree,Agree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1988,Female,51127399,Science,
2017-11-28 05:58:03,2017-11-28 05:59:02,IP Address,174.75.102.115,93,59,False,2017-11-28 09:59:18,R_ByvVCg7MVkBSdwd,,,,,,,anonymous,EN,Undecided,Strongly Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Undecided,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,,,13537441,Science,
2017-11-28 07:18:05,2017-11-28 07:18:54,IP Address,70.162.37.9,14,49,False,2017-11-28 11:18:56,R_32PamhJ481eW7SQ,,,,,,,anonymous,EN,,,Agree,,,Undecided,,Agree,,,Disagree,,,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77096823,Science,
2017-11-28 12:41:35,2017-11-28 12:44:41,IP Address,172.11.141.167,100,185,True,2017-11-28 12:44:42,R_11ZPtk67ucFxieA,,,,,29.134796142578,-81.024803161621,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Agree,Disagree,Undecided,Undecided,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,,1991,Female,65251285,PopCulture,
2017-11-28 12:43:07,2017-11-28 12:45:18,IP Address,71.230.99.158,100,130,True,2017-11-28 12:45:19,R_0Th8PYY4giYghpf,,,,,40.195693969727,-74.812698364258,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Undecided,Agree,Undecided,Undecided,Agree,Undecided,Agree,Disagree,Undecided,Undecided,Undecided,Disagree,Disagree,Disagree,Agree,Agree,Undecided,,1987,Male,44884209,PopCulture,
2017-11-28 12:49:09,2017-11-28 12:52:20,IP Address,74.94.126.97,100,190,True,2017-11-28 12:52:21,R_2s1JHn3QeHqIHTD,,,,,41.584197998047,-87.495597839355,anonymous,EN,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1978,Male,67948400,Science,
2017-11-28 12:53:57,2017-11-28 12:58:56,IP Address,73.106.76.154,100,299,True,2017-11-28 12:58:57,R_3dWbVoYhAwfwElK,,,,,34.033096313477,-84.601097106934,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Undecided,Disagree,Disagree,Disagree,Agree,,1965,Female,40132699,PopCulture,
2017-11-28 13:26:01,2017-11-28 13:27:58,IP Address,108.195.13.160,100,116,True,2017-11-28 13:27:59,R_1eFtX4tWMNXqlO3,,,,,25.933197021484,-80.162498474121,anonymous,EN,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1987,Female,53753712,Science,
